Species,Weight,Height
Bream,242,11.52
Bream,290,12.48
Bream,340,12.3778
Bream,363,12.73
Bream,430,12.444
Bream,450,13.6024
Bream,500,14.1795
Bream,390,12.67
Bream,450,14.0049
Bream,500,14.2266
Bream,475,14.2628
Bream,500,14.3714
Bream,500,13.7592
Bream,340,13.9129
Bream,600,14.9544
Bream,600,15.438
Bream,700,14.8604
Bream,700,14.938
Bream,610,15.633
Bream,650,14.4738
Bream,575,15.1285
Bream,685,15.9936
Bream,620,15.5227
Bream,680,15.4686
Bream,700,16.2405
Bream,725,16.36
Bream,720,16.3618
Roach,40,4.1472
Roach,69,5.2983
Roach,78,5.5756
Roach,87,5.6166
Roach,120,6.216
Roach,0,6.4752
Roach,110,6.1677
Roach,120,6.1146
Roach,150,5.8045
Roach,145,6.6339
Roach,160,7.0334
Roach,140,6.55
Roach,160,6.4
Roach,169,7.5344
Roach,161,6.9153
Roach,200,7.3968
Roach,180,7.0866
Roach,290,8.8768
Roach,272,8.568
Roach,390,9.485
Whitefish,270,8.3804
Whitefish,270,8.1454
Whitefish,306,8.778
Whitefish,540,10.744
Whitefish,800,11.7612
Whitefish,1000,12.354
Parkki,55,6.8475
Parkki,60,6.5772
Parkki,90,7.4052
Parkki,120,8.3922
Parkki,150,8.8928
Parkki,140,8.5376
Parkki,170,9.396
Parkki,145,9.7364
Parkki,200,10.3458
Parkki,273,11.088
Parkki,300,11.368
Perch,5.9,2.112
Perch,32,3.528
Perch,40,3.824
